questionId,symptomCategoryId,questionText,whyItMatters,requestedEvidence,safetyWarning,priority,answerType
"brake_issues_01","brake_vibration","What can you safely tell us about brake pedal feel?","This helps separate brake issues risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"brake_issues_02","brake_vibration","What can you safely tell us about red brake or ABS lights?","This helps separate brake issues risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"brake_issues_03","brake_vibration","What can you safely tell us about fluid near a wheel?","This helps separate brake issues risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"brake_issues_04","brake_vibration","What can you safely tell us about pulling or longer stopping?","This helps separate brake issues risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
"brake_issues_05","brake_vibration","What can you safely tell us about when braking symptoms occur?","This helps separate brake issues risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","choice_with_unknown"
"brake_issues_06","brake_vibration","What can you safely tell us about recent brake work?","This helps separate brake issues risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","low","short_text"
"overheating_01","overheating","What can you safely tell us about temperature warning shown?","This helps separate overheating risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","critical","long_text"
"overheating_02","overheating","What can you safely tell us about steam or coolant loss?","This helps separate overheating risk, missing evidence, and the appropriate next decision path.","Existing dashboard, record, or scan image","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","choice_with_unknown"
"overheating_03","overheating","What can you safely tell us about how quickly temperature rose?","This helps separate overheating risk, missing evidence, and the appropriate next decision path.","Timeline and current status","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","high","short_text"
"overheating_04","overheating","What can you safely tell us about heater behavior before stopping?","This helps separate overheating risk, missing evidence, and the appropriate next decision path.","Written description or existing photo","Do not drive, recreate the symptom, touch hot parts, approach fumes, or crawl under the vehicle to answer.","medium","long_text"
