disclosureId,issueType,plainEnglishDisclosurePrompt,buyerConcern,evidenceHelpful,listingLanguageSuggestion,safetyOrLegalNote
"check_engine_light","Check Engine Light","Describe the known check engine light in your own words, including when it occurs and what has or has not been verified.","Check Engine Light may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Dashboard photo, scan result, and estimate","Known issue: check engine light. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"abs_light","Abs Light","Describe the known abs light in your own words, including when it occurs and what has or has not been verified.","Abs Light may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Condition photos, timeline, and repair records","Known issue: abs light. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"brake_issue","Brake Issue","Describe the known brake issue in your own words, including when it occurs and what has or has not been verified.","Brake Issue may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Video if safely available, written symptoms, and inspection result","Known issue: brake issue. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"overheating","Overheating","Describe the known overheating in your own words, including when it occurs and what has or has not been verified.","Overheating may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Dashboard photo, scan result, and estimate","Known issue: overheating. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"no_start","No Start","Describe the known no start in your own words, including when it occurs and what has or has not been verified.","No Start may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Condition photos, timeline, and repair records","Known issue: no start. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"transmission_issue","Transmission Issue","Describe the known transmission issue in your own words, including when it occurs and what has or has not been verified.","Transmission Issue may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Video if safely available, written symptoms, and inspection result","Known issue: transmission issue. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"salvage_rebuilt_title","Salvage Rebuilt Title","Describe the known salvage rebuilt title in your own words, including when it occurs and what has or has not been verified.","Salvage Rebuilt Title may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Dashboard photo, scan result, and estimate","Known issue: salvage rebuilt title. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"mileage_unknown","Mileage Unknown","Describe the known mileage unknown in your own words, including when it occurs and what has or has not been verified.","Mileage Unknown may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Condition photos, timeline, and repair records","Known issue: mileage unknown. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"emissions_issue","Emissions Issue","Describe the known emissions issue in your own words, including when it occurs and what has or has not been verified.","Emissions Issue may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Video if safely available, written symptoms, and inspection result","Known issue: emissions issue. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"rust","Rust","Describe the known rust in your own words, including when it occurs and what has or has not been verified.","Rust may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Dashboard photo, scan result, and estimate","Known issue: rust. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"body_damage","Body Damage","Describe the known body damage in your own words, including when it occurs and what has or has not been verified.","Body Damage may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Condition photos, timeline, and repair records","Known issue: body damage. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"airbag_light","Airbag Light","Describe the known airbag light in your own words, including when it occurs and what has or has not been verified.","Airbag Light may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Video if safely available, written symptoms, and inspection result","Known issue: airbag light. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"missing_catalytic_converter","Missing Catalytic Converter","Describe the known missing catalytic converter in your own words, including when it occurs and what has or has not been verified.","Missing Catalytic Converter may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Dashboard photo, scan result, and estimate","Known issue: missing catalytic converter. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"oil_leak","Oil Leak","Describe the known oil leak in your own words, including when it occurs and what has or has not been verified.","Oil Leak may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Condition photos, timeline, and repair records","Known issue: oil leak. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"coolant_leak","Coolant Leak","Describe the known coolant leak in your own words, including when it occurs and what has or has not been verified.","Coolant Leak may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Video if safely available, written symptoms, and inspection result","Known issue: coolant leak. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"fuel_smell","Fuel Smell","Describe the known fuel smell in your own words, including when it occurs and what has or has not been verified.","Fuel Smell may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Dashboard photo, scan result, and estimate","Known issue: fuel smell. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"dead_battery","Dead Battery","Describe the known dead battery in your own words, including when it occurs and what has or has not been verified.","Dead Battery may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Condition photos, timeline, and repair records","Known issue: dead battery. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"charging_issue","Charging Issue","Describe the known charging issue in your own words, including when it occurs and what has or has not been verified.","Charging Issue may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Video if safely available, written symptoms, and inspection result","Known issue: charging issue. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"tire_issue","Tire Issue","Describe the known tire issue in your own words, including when it occurs and what has or has not been verified.","Tire Issue may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Dashboard photo, scan result, and estimate","Known issue: tire issue. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"suspension_noise","Suspension Noise","Describe the known suspension noise in your own words, including when it occurs and what has or has not been verified.","Suspension Noise may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Condition photos, timeline, and repair records","Known issue: suspension noise. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"steering_issue","Steering Issue","Describe the known steering issue in your own words, including when it occurs and what has or has not been verified.","Steering Issue may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Video if safely available, written symptoms, and inspection result","Known issue: steering issue. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"smoke","Smoke","Describe the known smoke in your own words, including when it occurs and what has or has not been verified.","Smoke may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Dashboard photo, scan result, and estimate","Known issue: smoke. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"misfire","Misfire","Describe the known misfire in your own words, including when it occurs and what has or has not been verified.","Misfire may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Condition photos, timeline, and repair records","Known issue: misfire. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"rough_idle","Rough Idle","Describe the known rough idle in your own words, including when it occurs and what has or has not been verified.","Rough Idle may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Video if safely available, written symptoms, and inspection result","Known issue: rough idle. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"electrical_issue","Electrical Issue","Describe the known electrical issue in your own words, including when it occurs and what has or has not been verified.","Electrical Issue may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Dashboard photo, scan result, and estimate","Known issue: electrical issue. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"water_flood_concern","Water Flood Concern","Describe the known water flood concern in your own words, including when it occurs and what has or has not been verified.","Water Flood Concern may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Condition photos, timeline, and repair records","Known issue: water flood concern. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"parts_car","Parts Car","Describe the known parts car in your own words, including when it occurs and what has or has not been verified.","Parts Car may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Video if safely available, written symptoms, and inspection result","Known issue: parts car. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
"runs_drives_with_issue","Runs Drives With Issue","Describe the known runs drives with issue in your own words, including when it occurs and what has or has not been verified.","Runs Drives With Issue may affect safety, reliability, emissions, value, repair cost, or the buyer's ability to register and use the vehicle.","Dashboard photo, scan result, and estimate","Known issue: runs drives with issue. Seller is describing observed condition only; cause and repair cost are not confirmed unless supported by attached records.","Do not claim the vehicle is safe, certified, legal, or an easy fix without appropriate verification. Follow applicable title and disclosure requirements."
