factorId,label,plainEnglishMeaning,pushesTowardRepair,pushesTowardSell,infoNeeded,riskNote,customerQuestion
"mileage","Mileage","Mileage can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current mileage information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's mileage, and how confident are you in that information?"
"vehicle_age","Vehicle Age","Vehicle Age can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current vehicle age information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's vehicle age, and how confident are you in that information?"
"title_status","Title Status","Title Status can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current title status information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's title status, and how confident are you in that information?"
"repair_estimate","Repair Estimate","Repair Estimate can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current repair estimate information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's repair estimate, and how confident are you in that information?"
"market_value_repaired","Market Value Repaired","Market Value Repaired can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current market value repaired information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's market value repaired, and how confident are you in that information?"
"market_value_as_is","Market Value As Is","Market Value As Is can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current market value as is information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's market value as is, and how confident are you in that information?"
"safety_issue","Safety Issue","Safety Issue can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current safety issue information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's safety issue, and how confident are you in that information?"
"repeat_failures","Repeat Failures","Repeat Failures can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current repeat failures information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's repeat failures, and how confident are you in that information?"
"parts_availability","Parts Availability","Parts Availability can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current parts availability information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's parts availability, and how confident are you in that information?"
"labor_intensity","Labor Intensity","Labor Intensity can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current labor intensity information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's labor intensity, and how confident are you in that information?"
"daily_vehicle_need","Daily Vehicle Need","Daily Vehicle Need can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the condition is verified, manageable, and supports reliable use or retained value.","Favors selling when it adds major uncertainty, safety exposure, delay, or cost relative to value.","Current daily vehicle need information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's daily vehicle need, and how confident are you in that information?"
"emotional_attachment","Emotional Attachment","Emotional Attachment can change the practical cost, risk, timing, or value of keeping the vehicle.","Favors repair when the benefit is clear and the cost and uncertainty remain acceptable.","Favors selling when it conflicts with the owner's budget, time, transportation needs, or risk tolerance.","Current emotional attachment information, source, date, and confidence.","Do not use one factor alone; safety, title, structural condition, and verified costs may require human or in-person review.","What do you know about the vehicle's emotional attachment, and how confident are you in that information?"
