flagId,label,sellerPhraseExamples,whyItMatters,evidenceToRequest,riskLevel,walkAwaySignal,customerSafeAdvice
"just_a_sensor","Seller says it is just a sensor","just a sensor; cheap code fix","Seller says it is just a sensor may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","VIN, title status, seller identity, and official records","critical","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"title_not_seller_name","Title not in seller name","selling for a friend; title is someone else's","Title not in seller name may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Cold start, scan data, inspection access, and repair records","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"refuses_cold_start","Refuses cold start","already warmed it up; no cold starts","Refuses cold start may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Detailed photos, written explanation, and independent inspection","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"refuses_scan_codes","Refuses scan codes","scanner is unnecessary; codes were cleared","Refuses scan codes may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","VIN, title status, seller identity, and official records","high","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"easy_fix_not_fixed","Says easy fix but will not fix","easy repair; I do not have time","Says easy fix but will not fix may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Cold start, scan data, inspection access, and repair records","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"fresh_detail_no_proof","Fresh detail with no repair proof","just detailed; no receipts","Fresh detail with no repair proof may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Detailed photos, written explanation, and independent inspection","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"price_too_low","Price appears unusually low","need it gone today; far below similar cars","Price appears unusually low may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","VIN, title status, seller identity, and official records","high","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"overheating_history","Overheating history","ran hot once; new coolant","Overheating history may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Cold start, scan data, inspection access, and repair records","critical","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"transmission_slipping","Transmission slipping","slips only when cold; needs fluid","Transmission slipping may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Detailed photos, written explanation, and independent inspection","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"rebuilt_salvage_title","Rebuilt or salvage title","rebuilt title; minor insurance damage","Rebuilt or salvage title may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","VIN, title status, seller identity, and official records","high","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"unknown_mileage","Unknown mileage","mileage exempt; cluster was changed","Unknown mileage may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Cold start, scan data, inspection access, and repair records","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"missing_catalytic_converter","Missing catalytic converter","straight pipe; converter removed","Missing catalytic converter may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Detailed photos, written explanation, and independent inspection","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"warning_lights_ignored","Warning lights ignored","light has been on forever; drives fine","Warning lights ignored may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","VIN, title status, seller identity, and official records","high","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"cannot_test_drive","Cannot test drive","no test drives; blocked in","Cannot test drive may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Cold start, scan data, inspection access, and repair records","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"jump_start_only","Only starts with a jump","just needs a jump; battery is dead","Only starts with a jump may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Detailed photos, written explanation, and independent inspection","critical","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"lien_unclear","Lien status unclear","bank still has title; lien will be handled later","Lien status unclear may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","VIN, title status, seller identity, and official records","high","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"pressure_today","Pressure to buy today","other buyers coming; decide now","Pressure to buy today may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Cold start, scan data, inspection access, and repair records","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"cash_urgency","Cash-only urgency","cash today only; no time for paperwork","Cash-only urgency may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Detailed photos, written explanation, and independent inspection","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"no_records","No maintenance records","lost records; did all work myself","No maintenance records may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","VIN, title status, seller identity, and official records","high","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"no_vin","No VIN provided","VIN later; plate is enough","No VIN provided may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Cold start, scan data, inspection access, and repair records","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"avoids_questions","Seller avoids questions","not sure; stop asking","Seller avoids questions may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Detailed photos, written explanation, and independent inspection","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"warmed_before_arrival","Vehicle warmed before arrival","I warmed it up for you","Vehicle warmed before arrival may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","VIN, title status, seller identity, and official records","critical","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"coolant_oil_mixing","Possible coolant and oil mixing","milky residue; coolant keeps disappearing","Possible coolant and oil mixing may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Cold start, scan data, inspection access, and repair records","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"smoke","Visible smoke","smokes a little; normal for age","Visible smoke may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Detailed photos, written explanation, and independent inspection","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"severe_rust","Severe rust","surface rust only; northern car","Severe rust may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","VIN, title status, seller identity, and official records","high","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"frame_damage","Possible frame damage","repaired frame; tracks straight","Possible frame damage may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Cold start, scan data, inspection access, and repair records","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"airbag_light","Airbag light","seat sensor only; airbag light is harmless","Airbag light may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","Detailed photos, written explanation, and independent inspection","moderate","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
"abs_brake_light","ABS or brake warning","ABS sensor only; brakes work","ABS or brake warning may create condition, cost, title, disclosure, or transaction uncertainty that remote claims cannot resolve.","VIN, title status, seller identity, and official records","high","Walk away when the seller blocks independent verification, documents conflict, safety risk is active, or pressure prevents reasonable review.","Pause the transaction, request specific evidence, and use independent title and in-person inspection checks before paying or committing."
