symptomCategoryId,label,plainEnglishDescription,commonCustomerPhrases,commonEvidenceNeeded,possibleRiskLevel,highRiskSignals,relatedRoadsideModes,recommendedInitialPath,humanReviewRecommended,safetyNote
"no_start","Vehicle will not start","Vehicle will not start. This category organizes customer observations without confirming a cause.","nothing happens; car will not start","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","moderate","repeated clicking; smoke; burning odor","roadside_now;tow_or_stop_now","basic_safe_check","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"crank_no_start","Engine turns over but does not start","Engine turns over but does not start. This category organizes customer observations without confirming a cause.","cranks but will not fire; turns over all day","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","moderate","fuel odor; smoke; unusual mechanical noise","roadside_now;tow_or_stop_now","request_more_info","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"starts_then_dies","Engine starts and then stops","Engine starts and then stops. This category organizes customer observations without confirming a cause.","starts then shuts off; will not stay running","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","stalling in traffic; loss of steering assist","roadside_now;tow_or_stop_now","tow","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"rough_idle","Engine runs unevenly while stopped","Engine runs unevenly while stopped. This category organizes customer observations without confirming a cause.","shakes at idle; idle is lumpy","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","moderate","flashing warning light; strong fuel smell","can_i_keep_driving","request_more_info","false","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"misfire","Engine appears to skip or run unevenly","Engine appears to skip or run unevenly. This category organizes customer observations without confirming a cause.","engine is missing; flashing check engine light","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","flashing check engine light; severe shaking; fuel smell","can_i_keep_driving;tow_or_stop_now","schedule_inspection","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"loss_of_power","Vehicle cannot accelerate normally","Vehicle cannot accelerate normally. This category organizes customer observations without confirming a cause.","no power; struggles uphill","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","loss of power in traffic; smoke; overheating","roadside_now;tow_or_stop_now","limp_to_safe_place","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"overheating","Engine temperature is too high","Engine temperature is too high. This category organizes customer observations without confirming a cause.","temperature gauge is hot; overheating","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","critical","steam; coolant pouring out; red temperature warning","roadside_now;tow_or_stop_now","stop_now","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"coolant_leak","Cooling-system fluid appears to be escaping","Cooling-system fluid appears to be escaping. This category organizes customer observations without confirming a cause.","green or pink puddle; losing coolant","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","rapid leak; overheating; steam","roadside_now;tow_or_stop_now","stop_now","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"oil_pressure_warning","Oil-pressure warning is illuminated","Oil-pressure warning is illuminated. This category organizes customer observations without confirming a cause.","red oil can light; low oil pressure","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","critical","engine knocking; warning remains on","roadside_now;tow_or_stop_now","stop_now","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
"brake_noise","Noise occurs during braking","Noise occurs during braking. This category organizes customer observations without confirming a cause.","brakes squeak; grinding when stopping","vehicle details; timeline; dashboard photo; safe photo, video, audio, or scan information when relevant","high","loud grinding; reduced braking; fluid leak","can_i_keep_driving;tow_or_stop_now","schedule_inspection","true","Do not drive or gather evidence when control, fire, fluid-loss, overheating, or other immediate safety risk is present."
