year,make,model
2008,Toyota,Camry
2009,Toyota,Camry
2010,Toyota,Camry
2011,Toyota,Camry
2012,Toyota,Camry
2013,Toyota,Camry
2014,Toyota,Camry
2015,Toyota,Camry
2016,Toyota,Camry
2017,Toyota,Camry
2009,Toyota,Corolla
2010,Toyota,Corolla
2011,Toyota,Corolla
2012,Toyota,Corolla
2013,Toyota,Corolla
2014,Toyota,Corolla
2015,Toyota,Corolla
2016,Toyota,Corolla
2017,Toyota,Corolla
2008,Toyota,Prius
2009,Toyota,Prius
2010,Toyota,Prius
2011,Toyota,Prius
2012,Toyota,Prius
2013,Toyota,Prius
2014,Toyota,Prius
2015,Toyota,Prius
2016,Toyota,Prius
2010,Toyota,RAV4
2011,Toyota,RAV4
2012,Toyota,RAV4
2013,Toyota,RAV4
2014,Toyota,RAV4
2015,Toyota,RAV4
2016,Toyota,RAV4
2008,Toyota,Tacoma
2009,Toyota,Tacoma
2010,Toyota,Tacoma
2011,Toyota,Tacoma
2012,Toyota,Tacoma
2013,Toyota,Tacoma
2014,Toyota,Tacoma
2015,Toyota,Tacoma
2008,Honda,Civic
2009,Honda,Civic
2010,Honda,Civic
2011,Honda,Civic
2012,Honda,Civic
2013,Honda,Civic
2015,Honda,Civic
2016,Honda,Civic
2017,Honda,Civic
2008,Honda,Accord
2009,Honda,Accord
2010,Honda,Accord
2011,Honda,Accord
2012,Honda,Accord
2013,Honda,Accord
2014,Honda,Accord
2015,Honda,Accord
2016,Honda,Accord
2010,Honda,CR-V
2011,Honda,CR-V
2012,Honda,CR-V
2013,Honda,CR-V
2014,Honda,CR-V
2015,Honda,CR-V
2016,Honda,CR-V
2008,Ford,F-150
2009,Ford,F-150
2010,Ford,F-150
2011,Ford,F-150
2012,Ford,F-150
2013,Ford,F-150
2014,Ford,F-150
2015,Ford,F-150
2016,Ford,F-150
2009,Ford,Escape
2010,Ford,Escape
2011,Ford,Escape
2012,Ford,Escape
2013,Ford,Escape
2015,Ford,Escape
2016,Ford,Escape
2010,Ford,Explorer
2011,Ford,Explorer
2012,Ford,Explorer
2013,Ford,Explorer
2014,Ford,Explorer
2015,Ford,Explorer
2016,Ford,Explorer
2010,Ford,Fusion
2011,Ford,Fusion
2012,Ford,Fusion
2013,Ford,Fusion
2014,Ford,Fusion
2015,Ford,Fusion
2016,Ford,Fusion
2008,Chevrolet,Silverado
2009,Chevrolet,Silverado
2010,Chevrolet,Silverado
2011,Chevrolet,Silverado
2012,Chevrolet,Silverado
2013,Chevrolet,Silverado
2014,Chevrolet,Silverado
2015,Chevrolet,Silverado
2016,Chevrolet,Silverado
2008,Chevrolet,Tahoe
2009,Chevrolet,Tahoe
2010,Chevrolet,Tahoe
2011,Chevrolet,Tahoe
2012,Chevrolet,Tahoe
2013,Chevrolet,Tahoe
2014,Chevrolet,Tahoe
2015,Chevrolet,Tahoe
2010,Chevrolet,Malibu
2011,Chevrolet,Malibu
2012,Chevrolet,Malibu
2013,Chevrolet,Malibu
2014,Chevrolet,Malibu
2015,Chevrolet,Malibu
2016,Chevrolet,Malibu
2010,Chevrolet,Equinox
2011,Chevrolet,Equinox
2012,Chevrolet,Equinox
2013,Chevrolet,Equinox
2014,Chevrolet,Equinox
2015,Chevrolet,Equinox
2016,Chevrolet,Equinox
2010,Nissan,Altima
2011,Nissan,Altima
2012,Nissan,Altima
2013,Nissan,Altima
2014,Nissan,Altima
2015,Nissan,Altima
2016,Nissan,Altima
2010,Nissan,Sentra
2011,Nissan,Sentra
2012,Nissan,Sentra
2013,Nissan,Sentra
2014,Nissan,Sentra
2015,Nissan,Sentra
2016,Nissan,Sentra
2010,Nissan,Rogue
2011,Nissan,Rogue
2012,Nissan,Rogue
2013,Nissan,Rogue
2014,Nissan,Rogue
2015,Nissan,Rogue
2016,Nissan,Rogue
2011,Hyundai,Elantra
2012,Hyundai,Elantra
2013,Hyundai,Elantra
2014,Hyundai,Elantra
2015,Hyundai,Elantra
2016,Hyundai,Elantra
2011,Hyundai,Sonata
2012,Hyundai,Sonata
2013,Hyundai,Sonata
2014,Hyundai,Sonata
2015,Hyundai,Sonata
2016,Hyundai,Sonata
2011,Kia,Optima
2012,Kia,Optima
2013,Kia,Optima
2014,Kia,Optima
2015,Kia,Optima
2016,Kia,Optima
2011,Kia,Soul
2012,Kia,Soul
2013,Kia,Soul
2014,Kia,Soul
2015,Kia,Soul
2016,Kia,Soul
2010,Subaru,Outback
2011,Subaru,Outback
2012,Subaru,Outback
2013,Subaru,Outback
2014,Subaru,Outback
2015,Subaru,Outback
2016,Subaru,Outback
2010,Subaru,Forester
2011,Subaru,Forester
2012,Subaru,Forester
2013,Subaru,Forester
2014,Subaru,Forester
2015,Subaru,Forester
2016,Subaru,Forester
2010,Jeep,Grand Cherokee
2011,Jeep,Grand Cherokee
2012,Jeep,Grand Cherokee
2013,Jeep,Grand Cherokee
2014,Jeep,Grand Cherokee
2015,Jeep,Grand Cherokee
2016,Jeep,Grand Cherokee
2010,Jeep,Wrangler
2011,Jeep,Wrangler
2012,Jeep,Wrangler
2013,Jeep,Wrangler
2014,Jeep,Wrangler
2015,Jeep,Wrangler
2016,Jeep,Wrangler
2011,Ram,1500
2012,Ram,1500
2013,Ram,1500
2014,Ram,1500
2015,Ram,1500
2016,Ram,1500
2010,Dodge,Charger
2011,Dodge,Charger
2012,Dodge,Charger
2013,Dodge,Charger
2014,Dodge,Charger
2015,Dodge,Charger
2016,Dodge,Charger
