year,make,model
2014,Ford,Focus
2005,Toyota,Prius
2004,Ford,F-150
2008,Hyundai,Tiburon
2010,Ford,Edge
2014,Honda,Civic
2010,Subaru,Outback
2014,Ford,Escape
2013,Ford,Focus
2012,Ford,Focus
2015,Ford,Focus
2011,Chevrolet,Silverado
2006,Chevrolet,Silverado
2008,Honda,Civic
2007,Toyota,Prius
2012,Toyota,Prius
2014,Nissan,Altima
2013,Nissan,Altima
2015,Nissan,Altima
2014,Chevrolet,Cruze
2013,Chevrolet,Cruze
2012,Chevrolet,Cruze
2014,Hyundai,Elantra
2013,Hyundai,Elantra
2014,Kia,Optima
2013,Kia,Optima
2014,Ford,Fusion
2013,Ford,Fusion
2014,Chevrolet,Malibu
2013,Chevrolet,Malibu
