Tab Name,Column Order,Header,Required,Default Value,Notes
Seller_Intake,1,Submitted At,Yes,,ISO 8601 timestamp generated by the app or Make.
Seller_Intake,2,Intake Type,Yes,marketplace-seller,Exact routing key used by Make.
Seller_Intake,3,Source,Yes,,Stable source identifier from the originating flow.
Seller_Intake,4,App Brand,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,5,Marketplace Brand,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,6,Seller Name,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,7,Seller Email,Yes,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,8,Seller Phone,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,9,Vehicle Year,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,10,Make,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,11,Model,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,12,Trim,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,13,Mileage,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,14,VIN,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,15,Title Status,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,16,Asking Price,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,17,Location,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,18,Condition Summary,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,19,Known Issues,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,20,Drivable Status,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,21,Listing Goal,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,22,Photos Available,No,,Captures ClearSale seller listing requests for admin review and listing preparation.
Seller_Intake,23,Acknowledgments,No,,Store a Make-safe text or JSON representation of accepted acknowledgments.
Seller_Intake,24,Status,Yes,New Seller Intake,"Use controlled values. Suggested: New Seller Intake, Needs Review, Approved For Draft Listing, Rejected."
Seller_Intake,25,Admin Notes,No,,Internal notes; never expose secrets or credentials.
Listings,1,Listing ID,Yes,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,2,Created At,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,3,Updated At,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,4,Status,Yes,DRAFT,"Use controlled values. Suggested: DRAFT, REVIEW, PUBLISHED, PAUSED, SOLD/REMOVED."
Listings,5,Seller Intake ID,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,6,Seller Name,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,7,Seller Email,Yes,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,8,Vehicle Year,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,9,Make,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,10,Model,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,11,Trim,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,12,Mileage,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,13,VIN,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,14,Asking Price,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,15,Location,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,16,Title Status,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,17,Drivable Status,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,18,Condition Summary,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,19,Known Issues,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,20,Listing Summary,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,21,Photos URLs,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,22,Featured,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,23,Package,No,,Stores admin-managed listing records prepared from approved seller intakes.
Listings,24,Published At,No,,Stores admin-managed listing records prepared from approved seller intakes.
