decisionPathId,label,plainEnglishMeaning,whenToUse,customerFacingRecommendation,safetyBoundaries,humanReviewRecommended,nextInfoNeeded,relatedStatuses
"stop_now","Stop now","End vehicle use because an immediate risk may be present.","Critical control, fire, heat, leak, or warning conditions","Stop in the nearest safe place and seek qualified help.","Do not resume use based only on remote guidance.","true","Current location; active hazards; occupants safe","needs_human_review;do_not_send"
"tow","Arrange a tow","Move the vehicle without driving it.","Driving may worsen risk or the vehicle cannot move reliably","Arrange towing to a suitable inspection or repair location.","Do not recommend improvised towing.","true","Vehicle location; destination; access constraints","needs_human_review"
"limp_to_safe_place","Move only to a safer place","Allow the shortest limited movement only when immediate control remains normal.","A low-speed move may reduce exposure to roadside danger","Move only to the nearest safe place and stop if symptoms change.","Never frame this as normal driving clearance.","true","Brakes; steering; warning lights; distance to safety","needs_human_review"
"basic_safe_check","Basic safe check","Gather observations that do not require driving, heat exposure, or disassembly.","A parked visual check may clarify the next step","Check only what is visible and safe; skip anything uncertain.","No crawling under, hot-system opening, or electrical contact.","false","Dashboard; visible tires; visible leak; current status","needs_more_info"
"request_more_info","Request more information","Pause the conclusion until specific evidence is available.","Evidence is incomplete or contradictory","Send the requested details if already available or safely obtainable.","Missing evidence must not be treated as evidence of safety.","false","Targeted photos; codes; timeline; records","needs_more_info"
"monitor","Monitor with boundaries","Observe a lower-risk issue for defined changes.","Current evidence suggests lower urgency without safety clearance","Track changes and schedule help if warning signs appear.","Not for control, fire, severe leak, overheating, or red-warning cases.","false","Baseline; warning signs; follow-up date","customer_ready_draft"
"schedule_inspection","Schedule inspection","Obtain a physical evaluation before relying on a remote conclusion.","Physical testing is needed to narrow the cause","Schedule a qualified in-person inspection.","Do not imply certification before inspection.","true","Shop type; urgency; evidence packet","needs_human_review"
"professional_repair","Professional repair","Use a qualified provider for diagnosis and repair.","Risk, complexity, tools, or testing exceed a basic owner check","Use the evidence packet to request verification before parts approval.","No guaranteed repair outcome or price.","true","Written estimate; verified cause; repair scope","customer_ready_draft"
"diy_possible","DIY may be possible","A limited owner task may be considered only within competence and safe conditions.","Low-risk task with clear boundaries and no safety-system uncertainty","Consider only a basic task you already know how to perform safely.","No step-by-step safety-critical repair instructions.","true","Skill; tools; service information; risk screening","needs_human_review"
"complete_repair_required","Complete repair required","A temporary measure is not an adequate final resolution.","Normal use should wait for verified repair","Complete and verify the necessary repair before normal use.","Temporary improvement is not proof of safety.","true","Inspection result; repair record; verification","needs_human_review"
"sell_as_is","Sell as-is","Disclose known issues and sell without claiming repair or certification.","Repair is not preferred or economical","Use clear factual disclosures and supporting evidence.","Seller remains responsible for title, legal, and disclosure compliance.","true","Title status; known issues; evidence; local requirements","customer_ready_draft"
"buyer_request_more_evidence","Buyer requests more evidence","Ask the seller for missing records or condition evidence.","Claims cannot be evaluated remotely","Request specific evidence before spending more time or money.","Seller-provided evidence remains unverified.","false","VIN; title; cold start; codes; records","needs_more_info"
"buyer_walk_away","Buyer walks away","End pursuit when risk or missing cooperation is unacceptable.","Red flags, contradictions, or blocked inspection exceed tolerance","Do not proceed unless the material concern is independently resolved.","Avoid declaring fraud without evidence.","true","Reason; unresolved flags; transaction status","needs_human_review"
"proceed_to_in_person_inspection","Proceed to in-person inspection","Advance only to independent physical review, not purchase.","Remote evidence supports further evaluation but not a buying decision","Arrange an independent inspection before commitment.","No purchase or safety clearance is implied.","true","Inspector; scope; seller permission; records","customer_ready_draft"
"human_review_required","Human review required","Hold customer delivery for qualified review.","High-risk, title, structural, high-cost, or low-confidence case","A human reviewer must approve the next-step language.","Do not auto-send the draft.","true","Risk flags; draft; evidence; open questions","needs_human_review"
"do_not_send","Do not send","Block customer delivery of an unsafe or unsuitable draft.","Content fails safety, quality, consent, or workflow rules","Keep the draft internal until corrected or closed.","Never expose internal-only speculation.","true","Block reason; reviewer decision; remediation","do_not_send"
