evidenceId,label,description,evidenceType,usefulForSymptomCategories,safeCaptureInstructions,unsafeCaptureWarning,priority,customerPromptText
"dash_warning_photo","Dashboard warning photo","Dashboard warning photo can add context but does not confirm condition by itself.","photo","check_engine_light;abs_light;airbag_light;charging_warning;oil_pressure_warning","Photograph the parked vehicle dashboard without blocking controls.","Do not photograph while driving.","high","Please provide dashboard warning photo if you already have it or can capture it safely."
"cold_start_video","Cold start video","Cold start video can add context but does not confirm condition by itself.","video","no_start;crank_no_start;starts_then_dies;rough_idle;misfire","Record from a safe standing position with the vehicle parked outdoors.","Keep clear of moving parts and exhaust.","high","Please provide cold start video if you already have it or can capture it safely."
"walkaround_video","Vehicle walkaround video","Vehicle walkaround video can add context but does not confirm condition by itself.","video","buyer_remote_risk;seller_as_is_disclosure;tire_wheel_vibration","Walk around a parked vehicle on stable ground.","Do not enter traffic or record while moving the vehicle.","medium","Please provide vehicle walkaround video if you already have it or can capture it safely."
"underhood_photo","Underhood overview photo","Underhood overview photo can add context but does not confirm condition by itself.","photo","overheating;coolant_leak;oil_pressure_warning;smoke_from_engine","Photograph only after parking safely and when no smoke, fire, or dangerous heat is present.","Do not touch hot or moving parts.","medium","Please provide underhood overview photo if you already have it or can capture it safely."
"tire_photo","Tire condition photo","Tire condition photo can add context but does not confirm condition by itself.","photo","tire_wheel_vibration;steering_pull;buyer_remote_risk","Photograph tread and visible sidewalls while parked.","Do not crawl under the vehicle or stand in traffic.","high","Please provide tire condition photo if you already have it or can capture it safely."
"wheel_photo","Wheel and lug-area photo","Wheel and lug-area photo can add context but does not confirm condition by itself.","photo","tire_wheel_vibration;wheel_bearing_noise;brake_vibration","Photograph the visible wheel from outside the vehicle.","Do not loosen parts or reach behind the wheel.","high","Please provide wheel and lug-area photo if you already have it or can capture it safely."
"leak_photo","Leak location photo","Leak location photo can add context but does not confirm condition by itself.","photo","coolant_leak;fuel_leak;oil_pressure_warning","Photograph from a safe distance after the vehicle is parked.","Do not touch, taste, or crawl under unknown fluid.","high","Please provide leak location photo if you already have it or can capture it safely."
"smoke_photo","Smoke photo if safe","Smoke photo if safe can add context but does not confirm condition by itself.","photo","smoke_from_engine;burning_smell;overheating","Only capture from a safe distance after occupants are away from danger.","Do not approach fire, heavy smoke, or leaking fuel.","high","Please provide smoke photo if safe if you already have it or can capture it safely."
"obd_code_screenshot","OBD code screenshot","OBD code screenshot can add context but does not confirm condition by itself.","scan","check_engine_light;misfire;starts_then_dies","Capture a scanner screen while the vehicle is safely parked.","Do not clear codes or operate a scanner while driving.","high","Please provide obd code screenshot if you already have it or can capture it safely."
"freeze_frame_screenshot","Freeze-frame screenshot if available","Freeze-frame screenshot if available can add context but does not confirm condition by itself.","scan","check_engine_light;misfire;loss_of_power","Save existing scanner data while parked.","Do not change settings you do not understand.","medium","Please provide freeze-frame screenshot if available if you already have it or can capture it safely."
"repair_invoice_photo","Repair invoice photo","Repair invoice photo can add context but does not confirm condition by itself.","document","buyer_remote_risk;seller_as_is_disclosure;repair_vs_sell","Cover unrelated personal or payment information before sharing.","Do not share full card numbers or unrelated identity data.","medium","Please provide repair invoice photo if you already have it or can capture it safely."
