triggerId,label,customerPhraseExamples,riskLevel,recommendedAction,stopNow,humanReviewRequired,towLikely,safeCustomerMessage,unsafePhrasingToAvoid
"brake_pedal_soft","Brake pedal feels soft","pedal is mushy; pedal sinks","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"brake_fluid_leak","Possible brake fluid leak","fluid near wheel; brake reservoir low","critical","tow","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"steering_loss","Steering loss","cannot steer; steering suddenly locked","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"vehicle_overheating","Vehicle overheating","gauge is hot; steam from hood","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"smoke_fire_smell","Smoke or fire smell","smoke under hood; smells like fire","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"fuel_smell_leak","Fuel smell or leak","strong gas smell; fuel dripping","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"oil_pressure_warning","Oil pressure warning","red oil light; low oil pressure message","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"coolant_temperature_warning","Coolant temperature warning","red temperature light; coolant warning","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"severe_shaking","Severe vehicle shaking","car shakes violently; hard to control","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"tire_blowout_sidewall","Tire blowout or sidewall damage","tire blew; sidewall has a large bulge","critical","tow","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"wheel_loose","Wheel may be loose","wheel wobbles; lug nuts missing","critical","tow","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"engine_knocking","Severe engine knocking","loud knock; metal hammering sound","high","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"transmission_no_engage","Transmission will not engage","car will not move in drive","high","tow","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"stalls_in_traffic","Vehicle stalls in traffic","dies at lights; shuts off moving","critical","tow","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"electrical_burning_smell","Electrical burning smell","burning plastic; hot wire smell","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"battery_smoking_sparking","Battery smoking or sparking","battery is smoking; sparks at terminal","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"no_headlights_night","No headlights at night","headlights went out; cannot see road","critical","stop_now","true","false","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"abs_brake_lights","ABS and brake lights together","ABS and red brake lights are on","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"airbag_deployed","Airbag deployed","airbag went off; bags are open","critical","tow","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"crash_damage","Crash damage","just hit something; front wheel bent","critical","tow","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"fluid_pouring_out","Fluid pouring out","large puddle quickly; fluid streaming","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"grinding_braking","Loud grinding while braking","metal grinding when stopping","critical","tow","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"stuck_accelerator","Accelerator appears stuck","pedal stuck; engine will not slow","critical","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"power_steering_loss","Loss of power steering","wheel became very heavy; steering assist warning","high","limp_to_safe_place","false","true","true","Move only as far as needed to reach the nearest safe place if control remains normal; stop if anything worsens.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
"unknown_severe_lights","Unknown severe warning lights","several red lights; warning says stop","high","stop_now","true","true","true","Stop in the nearest safe place, switch off when appropriate, move occupants away from immediate danger, and seek qualified in-person or emergency help.","Do not say the vehicle is safe, guarantee a distance, or encourage driving to test the symptom."
